,1stFlrSF,2ndFlrSF,Alley,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,Condition1,Electrical,EnclosedPorch,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fence,FireplaceQu,Fireplaces,Foundation,FullBath,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageType,GarageYrBlt,GrLivArea,HalfBath,Heating,HeatingQC,HouseStyle,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotFrontage,LotShape,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MiscFeature,MoSold,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,RoofStyle,SaleCondition,SaleType,ScreenPorch,TotRmsAbvGrd,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold,TotalSq
0,856,854,None,3,1Fam,3,0,706.0,0.0,6,Unf,1.0,0.0,4,150.0,Y,Norm,5,0,3,4,VinylSd,VinylSd,0,0,0,PConc,2,8,548.0,2.0,3,2,3,0,2003.0,1710,1,GasA,5,2Story,1,4,Lvl,Gtl,8450,Inside,65.0,4,60,RL,196.0,BrkFace,None,2,CollgCr,61,5,7,3,Gable,Normal,WD,0,8,856.0,0,2003,2003,2008,2566.0
1,1262,0,None,3,1Fam,3,0,978.0,0.0,5,Unf,0.0,1.0,4,284.0,Y,Feedr,5,0,3,3,MetalSd,MetalSd,0,3,1,CBlock,2,8,460.0,2.0,3,2,3,0,1976.0,1262,0,GasA,5,1Story,1,3,Lvl,Gtl,9600,FR2,80.0,4,20,RL,0.0,None,None,5,Veenker,0,8,6,3,Gable,Normal,WD,0,6,1262.0,298,1976,1976,2007,2524.0
2,920,866,None,3,1Fam,3,0,486.0,0.0,6,Unf,1.0,0.0,4,434.0,Y,Norm,5,0,3,4,VinylSd,VinylSd,0,3,1,PConc,2,8,608.0,2.0,3,2,3,0,2001.0,1786,1,GasA,5,2Story,1,4,Lvl,Gtl,11250,Inside,68.0,3,60,RL,162.0,BrkFace,None,9,CollgCr,42,5,7,3,Gable,Normal,WD,0,6,920.0,0,2001,2002,2008,2706.0
3,961,756,None,3,1Fam,4,0,216.0,0.0,5,Unf,1.0,0.0,3,540.0,Y,Norm,5,272,3,3,Wd Sdng,Wd Shng,0,4,1,BrkTil,1,8,642.0,3.0,3,1,3,0,1998.0,1717,0,GasA,4,2Story,1,4,Lvl,Gtl,9550,Corner,60.0,3,70,RL,0.0,None,None,2,Crawfor,35,5,7,3,Gable,Abnorml,WD,0,7,756.0,0,1915,1970,2006,2473.0
4,1145,1053,None,4,1Fam,3,0,655.0,0.0,6,Unf,1.0,0.0,4,490.0,Y,Norm,5,0,3,4,VinylSd,VinylSd,0,3,1,PConc,2,8,836.0,3.0,3,2,3,0,2000.0,2198,1,GasA,5,2Story,1,4,Lvl,Gtl,14260,FR2,84.0,3,60,RL,350.0,BrkFace,None,12,NoRidge,84,5,8,3,Gable,Normal,WD,0,9,1145.0,192,2000,2000,2008,3343.0
5,796,566,None,1,1Fam,3,0,732.0,0.0,6,Unf,1.0,0.0,4,64.0,Y,Norm,5,0,3,3,VinylSd,VinylSd,3,0,0,Wood,1,8,480.0,2.0,3,1,3,0,1993.0,1362,1,GasA,5,1.5Fin,1,3,Lvl,Gtl,14115,Inside,85.0,3,50,RL,0.0,None,Shed,10,Mitchel,30,5,5,3,Gable,Normal,WD,0,5,796.0,40,1993,1995,2009,2158.0
6,1694,0,None,3,1Fam,3,0,1369.0,0.0,6,Unf,1.0,0.0,5,317.0,Y,Norm,5,0,3,4,VinylSd,VinylSd,0,4,1,PConc,2,8,636.0,2.0,3,2,3,0,2004.0,1694,0,GasA,5,1Story,1,4,Lvl,Gtl,10084,Inside,75.0,4,20,RL,186.0,Stone,None,8,Somerst,57,5,8,3,Gable,Normal,WD,0,7,1686.0,255,2004,2005,2007,3380.0
7,1107,983,None,3,1Fam,3,0,859.0,32.0,5,BLQ,1.0,0.0,4,216.0,Y,PosN,5,228,3,3,HdBoard,HdBoard,0,3,2,CBlock,2,8,484.0,2.0,3,2,3,0,1973.0,2090,1,GasA,5,2Story,1,3,Lvl,Gtl,10382,Corner,,3,60,RL,240.0,Stone,Shed,11,NWAmes,204,6,7,3,Gable,Normal,WD,0,7,1107.0,235,1973,1973,2009,3197.0
8,1022,752,None,2,1Fam,3,0,0.0,0.0,1,Unf,0.0,0.0,3,952.0,Y,Artery,3,205,3,3,BrkFace,Wd Shng,0,3,2,BrkTil,2,7,468.0,2.0,3,1,2,0,1931.0,1774,0,GasA,4,1.5Fin,2,3,Lvl,Gtl,6120,Inside,51.0,4,50,RM,0.0,None,None,4,OldTown,0,5,7,3,Gable,Abnorml,WD,0,8,952.0,90,1931,1950,2008,2726.0
9,1077,0,None,2,2fmCon,3,0,851.0,0.0,6,Unf,1.0,0.0,3,140.0,Y,Artery,5,0,3,3,MetalSd,MetalSd,0,3,2,BrkTil,1,8,205.0,1.0,3,2,4,0,1939.0,1077,0,GasA,5,1.5Unf,2,3,Lvl,Gtl,7420,Corner,50.0,4,190,RL,0.0,None,None,1,BrkSide,4,6,5,3,Gable,Normal,WD,0,5,991.0,0,1939,1950,2008,2068.0
